Cruise,Station,Deployment,Tube,Subcore,Genus,Species,Abundance
OR1_1126,GS1,1,5,1,Paramphimonhystrella,elegans,1
OR1_1126,GS1,1,5,1,Vasostoma,longispicula,10
OR1_1126,GS1,1,5,1,Thalassironus,sp1,5
OR1_1126,GS1,1,5,1,Sabatieria,sp1,15
OR1_1126,GS1,1,5,1,Paramesacanthion,tricuspis,1
OR1_1126,GS1,1,5,1,Sphaerolaimus,sp1,7
OR1_1126,GS1,1,5,1,Dorylaimopsis,variabilis,24
OR1_1126,GS1,1,5,1,Axonolaimus,sp1,1
OR1_1126,GS1,1,5,1,Setosabatieria,hilarula,7
OR1_1126,GS1,1,5,1,Desmodorella,sp1,1
OR1_1126,GS1,1,5,1,Parasphaerolaimus,paradoxus,3
OR1_1126,GS1,1,5,1,Pselionema,sp1,4
OR1_1126,GS1,1,5,1,Halalaimus,sp1,1
OR1_1126,GS1,1,5,1,Dorylaimopsis,sp1,4
OR1_1126,GS1,1,5,1,Halalaimus,sp2,1
OR1_1126,GS1,1,5,1,Oncholaimus,sp1,2
OR1_1126,GS1,1,5,1,Setosabatieria,jingjingae,1
OR1_1126,GS1,1,5,1,Metalinhomoeus,sp1,1
OR1_1126,GS1,1,5,1,Daptonema,sp1,1
OR1_1126,GS1,1,5,1,Viscosia,sp1,1
OR1_1126,GS1,1,5,1,Desmoscolex,sp1,2
OR1_1126,GS1,1,5,1,Quadricoma,sp1,1
OR1_1126,GS1,1,5,1,Quadricoma,sp2,2
OR1_1126,GS1,1,5,1,Terschellingia,longicaudata,1
OR1_1126,GS1,1,5,1,Quadricoma,sp3,3
OR1_1126,GS1,1,5,2,Thalassironus,sp1,6
OR1_1126,GS1,1,5,2,Thalassomonhystera,sp1,1
OR1_1126,GS1,1,5,2,Vasostoma,longispicula,4
OR1_1126,GS1,1,5,2,Setosabatieria,hilarula,7
OR1_1126,GS1,1,5,2,Oncholaimus,sp1,5
OR1_1126,GS1,1,5,2,Sabatieria,sp1,9
OR1_1126,GS1,1,5,2,Dorylaimopsis,variabilis,12
OR1_1126,GS1,1,5,2,Dorylaimopsis,sp1,2
OR1_1126,GS1,1,5,2,Craspodema,sp1,4
OR1_1126,GS1,1,5,2,Pselionema,sp1,3
OR1_1126,GS1,1,5,2,Sphaerolaimus,sp2,1
OR1_1126,GS1,1,5,2,Sphaerolaimus,sp1,6
OR1_1126,GS1,1,5,2,Elzalia,floresi,1
OR1_1126,GS1,1,5,2,Halalaimus,gracilis,2
OR1_1126,GS1,1,5,2,Halalaimus,longicaudatus,2
OR1_1126,GS1,1,5,2,Setosabatieria,jingjingae,1
OR1_1126,GS1,1,5,2,Paramesacanthion,tricuspis,3
OR1_1126,GS1,1,5,2,Halalaimus,sp1,1
OR1_1126,GS1,1,5,2,Parasphaerolaimus,paradoxus,2
OR1_1126,GS1,1,5,2,Promonhystera,faber,1
OR1_1126,GS1,1,5,2,Marylynnia,sp1,1
OR1_1126,GS1,1,5,2,Elzalia,gerlachi,1
OR1_1126,GS1,1,5,2,Halichoanolaimus,sp1,1
OR1_1126,GS1,1,5,2,Pseudosteineria,sp1,1
OR1_1126,GS1,1,5,2,Siphonolaimus,sp1,1
OR1_1126,GS1,1,5,2,Axonolaimus,sp1,1
OR1_1126,GS1,1,5,2,Abelbolla,huanghaiensis,1
OR1_1126,GS1,1,5,2,Quadricoma,sp3,4
OR1_1126,GS1,1,5,2,Quadricoma,sp1,5
OR1_1126,GS1,1,5,2,Quadricoma,sp2,4
OR1_1126,GS1,1,5,2,Desmodorella,sp1,2
OR1_1126,GS1,1,5,2,Daptonema,sp1,1
OR1_1126,GS1,1,5,2,Desmoscolex,sp1,3
OR1_1126,GS1,1,5,2,Paramicrolaimus,mirus,1
OR1_1126,GS1,1,5,3,Promonhystera,faber,1
OR1_1126,GS1,1,5,3,Vasostoma,longispicula,6
OR1_1126,GS1,1,5,3,Setosabatieria,jingjingae,3
OR1_1126,GS1,1,5,3,Sphaerolaimus,sp1,2
OR1_1126,GS1,1,5,3,Setosabatieria,hilarula,8
OR1_1126,GS1,1,5,3,Oncholaimus,sp1,1
OR1_1126,GS1,1,5,3,Thalassironus,sp1,4
OR1_1126,GS1,1,5,3,Odontophora,sp1,2
OR1_1126,GS1,1,5,3,Sabatieria,sp1,8
OR1_1126,GS1,1,5,3,Dorylaimopsis,variabilis,5
OR1_1126,GS1,1,5,3,Elzalia,floresi,1
OR1_1126,GS1,1,5,3,Desmodorella,sp1,4
OR1_1126,GS1,1,5,3,Craspodema,sp1,11
OR1_1126,GS1,1,5,3,Mesacanthion,sp1,1
OR1_1126,GS1,1,5,3,Abelbolla,huanghaiensis,4
OR1_1126,GS1,1,5,3,Paramesacanthion,tricuspis,2
OR1_1126,GS1,1,5,3,Cervonema,tenuicaudatum,1
