Genus,Species,Family,Buccal,Tail,Life history
Paramphimonhystrella,elegans,Xyalidae,1B,cla,2
Vasostoma,longispicula,Comesomatidae,2A,cla,2
Thalassironus,sp1,Ironidae,2B,cla,4
Sabatieria,sp1,Comesomatidae,1B,cla,2
Paramesacanthion,tricuspis,Thoracostomopsidae,2B,cla,3
Sphaerolaimus,sp1,Sphaerolaimidae,2B,cla,3
Dorylaimopsis,variabilis,Comesomatidae,2A,cla,2
Axonolaimus,sp1,Axonolaimidae,1B,cla,2
Setosabatieria,hilarula,Comesomatidae,1B,cla,2
Desmodorella,sp1,Desmodoridae,2A,co,2
Parasphaerolaimus,paradoxus,Sphaerolaimidae,2B,cla,3
Pselionema,sp1,Ceramonematidae,1A,co,3
Halalaimus,sp1,Oxystominidae,1A,e/f,4
Dorylaimopsis,sp1,Comesomatidae,2A,cla,2
Halalaimus,sp2,Oxystominidae,1A,cla,4
Oncholaimus,sp1,Oncholaimidae,2B,s/r,4
Setosabatieria,jingjingae,Comesomatidae,1B,cla,2
Metalinhomoeus,sp1,Linhomoeidae,1B,e/f,2
Daptonema,sp1,Xyalidae,1B,cla,2
Viscosia,sp1,Oncholaimidae,2B,cla,3
Desmoscolex,sp1,Desmoscolecidae,1A,co,4
Quadricoma,sp1,Desmoscolecidae,1A,co,4
Quadricoma,sp2,Desmoscolecidae,1A,co,4
Terschellingia,longicaudata,Linhomoeidae,1A,e/f,3
Quadricoma,sp3,Desmoscolecidae,1A,co,4
Thalassomonhystera,sp1,Monhysteridae,1B,cla,1
Craspodema,sp1,Cyatholaimidae,2A,e/f,4
Sphaerolaimus,sp2,Sphaerolaimidae,2B,cla,3
Elzalia,floresi,Xyalidae,1B,cla,2
Halalaimus,gracilis,Oxystominidae,1A,e/f,4
Halalaimus,longicaudatus,Oxystominidae,1A,e/f,4
Promonhystera,faber,Xyalidae,1B,cla,2
Marylynnia,sp1,Cyatholaimidae,2A,e/f,3
Elzalia,gerlachi,Xyalidae,1B,cla,2
Halichoanolaimus,sp1,Selachinematidae,2B,cla,3
Pseudosteineria,sp1,Xyalidae,1B,cla,2
Siphonolaimus,sp1,Siphonolaimidae,2B,co,3
Abelbolla,huanghaiensis,Encheliidae,2B,cla,4
Paramicrolaimus,mirus,Paramicrolaimidae,2A,co,3
Mesacanthion,sp1,Thoracostomopsidae,2B,cla,3
Cervonema,tenuicaudatum,Comesomatidae,1B,cla,2
Filoncholaimus,sp1,Oncholaimidae,2B,e/f,4
Metasphaerolaimus,sp1,Sphaerolaimidae,1B,co,3
Odontophora,sp1,Axonolaimidae,2A,cla,2
Paranticoma,tricerviseta,Anticomidae,1A,e/f,2
Theristus,sp1,Xyalidae,1B,co,2
Halalaimus,isaitshikovi,Oxystominidae,1A,e/f,4
Prooncholaimus,sp1,Oncholaimidae,2B,s/r,4
Desmodora,sp1,Desmodoridae,2A,co,2
Tricoma,sp4,Desmoscolecidae,1A,co,4
Richtersia,coifsoa,Richtersiidae,1B,co,3
Southerniella,sp1,Diplopeltidae,1A,co,3
Sabatieria,sp2,Comesomatidae,1B,cla,2
Daptonema,sp2,Xyalidae,1B,cla,2
Daptonema,sp3,Xyalidae,1B,cla,2
Daptonema,sp4,Xyalidae,1B,cla,2
Dorylaimopsis,sp2,Comesomatidae,2A,cla,2
Parodontophora,sp1,Axonolaimidae,2A,cla,2
Sabatieria,sp3,Comesomatidae,1B,cla,2
Graphonema,sp1,Chromadoridae,2A,co,3
Desmodora,sp2,Desmodoridae,2A,co,2
Linhomoeus,sp1,Linhomoeidae,1B,e/f,2
Actinonema,sp1,Chromadoridae,2A,co,4
Elzalia,sp1,Xyalidae,1B,cla,2
Oxyonchus,sp1,Thoracostomopsidae,2B,cla,3
Dichromadora,sp1,Chromadoridae,2A,co,2
Amphimonhystera,circula,Xyalidae,1B,cla,2
Thalassomonhystera,sp2,Monhysteridae,1B,cla,1
Molgolaimus,sp1,Desmodoridae,1A,cla,3
Tricoma,sp5,Desmoscolecidae,1A,co,4
Abelbolla,warwicki,Encheliidae,2B,cla,4
Protricoma,sp1,Desmoscolecidae,1A,co,4
Quadricomoides,sp1,Desmoscolecidae,1A,co,4
Quadricoma,sp6,Desmoscolecidae,1A,co,4
Subsphaerolaimus,sp1,Sphaerolaimidae,2B,cla,3
Marylynnia,sp2,Cyatholaimidae,2A,e/f,3
Microlaimus,sp1,Microlaimidae,2A,co,2
Diplopeltula,sp1,Diplopeltidae,1A,co,2
Sphaerolaimus,sp3,Sphaerolaimidae,2B,cla,3
Aegialoalaimus,sp1,Aegialoalaimidae,1A,s/r,4
Comesa,sp1,Neotonchidae,2A,co,3
Neochromadora,sp1,Chromadoridae,2A,co,2
Acantholaimus,sp1,Chromadoridae,2A,e/f,3
Desmoscolex,sp2,Desmoscolecidae,1A,co,4
Cobbia,sp1,Xyalidae,2A,e/f,3
Linhystera,breviapophysis,Xyalidae,1A,e/f,2
Diplopeltoides,sp1,Diplopeltoididae,1A,co,3
Metadesmolaimus,sp1,Xyalidae,2B,cla,2
Pierrickia,sp1,Comesomatidae,1B,cla,2
Metasphaerolaimus,sp2,Sphaerolaimidae,1B,cla,3
Paracomesoma,sp1,Comesomatidae,2A,cla,2
Acantholaimus,sp2,Chromadoridae,2A,e/f,3
Cervonema,sp1,Comesomatidae,1B,cla,2
Thalassironus,sp2,Ironidae,2B,e/f,4
Paramphimonhystrella,minor,Xyalidae,1B,cla,2
Acantholaimus,sp3,Chromadoridae,2A,e/f,3
Vasostoma,sp1,Comesomatidae,2A,cla,2
Ascolaimus,sp1,Axonolaimidae,1B,co,2
Paramphimonhystrella,sinica,Xyalidae,1B,cla,2
Halalaimus,sp3,Oxystominidae,1A,e/f,4
Southerniella,sp2,Diplopeltidae,1A,co,3
Steineridora,sp1,Chromadoridae,2A,co,3
Acantholaimus,sp4,Chromadoridae,2A,e/f,3
Amphimonhystrella,sp1,Xyalidae,1B,cla,2
Steineria,sinica,Sphaerolaimidae,1B,cla,2
Axonolaimus,sp2,Axonolaimidae,1B,cla,2
Litinium,sp1,Oxystominidae,1A,s/r,4
Theristus,sp2,Xyalidae,1B,co,2
Chromadorita,sp1,Chromadoridae,2A,co,3
Microlaimus,sp2,Microlaimidae,2A,co,2
Anticoma,sp1,Anticomidae,1A,e/f,2
Longicyatholaimus,sp1,Cyatholaimidae,2A,e/f,3
Metadasynemella,cassidiniensis,Ceramonematidae,1A,co,3
Halalaimus,sp4,Oxystominidae,1A,cla,4
Filitonchus,ewensis,Neotonchidae,1B,co,3
Parironus,sp1,Ironidae,2B,e/f,4
Aegialoalaimus,sp2,Aegialoalaimidae,1A,co,4
Curvolaimus,filiformis,Oncholaimidae,2B,e/f,4
Microlaimus,sp3,Microlaimidae,2A,co,2
Hopperia,sp1,Comesomatidae,2A,e/f,2
Oxystomina,sp1,Oxystominidae,1A,cla,4
Paramonohystera,sp1,Xyalidae,1B,cla,2
Campylaimus,sp1,Diplopeltidae,1B,cla,3
Laimella,sp1,Comesomatidae,2A,e/f,2
Disconema,sp1,Linhomoeidae,1A,co,2
Alaimella,cincta,Camacolaimidae,1A,co,3
Paralongicyatholaimus,sp1,Cyatholaimidae,2A,e/f,3
Halalaimus,sp5,Oxystominidae,1A,cla,4
Metacyatholaimus,sp1,Cyatholaimidae,2A,e/f,3
Cobbia,sp2,Xyalidae,2A,cla,3
Campylaimus,minutus,Diplopeltidae,1B,co,3
Longicyatholaimus,sp2,Cyatholaimidae,2A,e/f,3
Morlaixia,sp1,Diplopeltidae,1B,co,3
Monhystrella,sp1,Monhysteridae,1B,e/f,1
Desmolaimus,sp1,Linhomoeidae,1B,cla,2
Acantholaimus,sp5,Chromadoridae,2A,e/f,3
Cyartonema,sp1,Cyartonematidae,1A,co,3
Retrotheristus,sp1,Xyalidae,1B,cla,2
Setosabatieria,sp1,Comesomatidae,1B,cla,2
Halomonhystera,sp1,Monhysteridae,1B,cla,1
Mesacanthoides,sinuosus,Thoracostomopsidae,2B,cla,2
Leptolaimus,sp1,Leptolaimidae,1A,cla,2
Desmoscolex,sp3,Desmoscolecidae,1A,co,4
Oncholaimus,sp2,Oncholaimidae,2B,cla,4
Eleutherolaimus,sp1,Linhomoeidae,1B,co,2
Odontophora,sp2,Axonolaimidae,2A,co,2
Leptolaimus,sp2,Leptolaimidae,1A,cla,2
Pandolaimus,sp1,Pandolaimidae,1B,cla,2
Ceramonema,sp1,Ceramonematidae,1A,co,3
Terschellingia,sp1,Linhomoeidae,1A,e/f,3
Leptolaimoides,tropicus,Leptolaimidae,1A,e/f,3
Metalinhomoeus,sp2,Linhomoeidae,1B,co,2
Halalaimus,sp6,Oxystominidae,1A,cla,4
Bodonema,vossi,Bodonematidae,1A,co,3
Cobbionema,acrocerca,Selachinematidae,2B,co,3
Endeolophos,sp1,Chromadoridae,1A,co,3
Diplopeltula,sp2,Diplopeltidae,1A,s/r,2
Parastomonema,papillosum,Siphonolaimidae,3,co,3
Viscosia,sp2,Oncholaimidae,2B,cla,3
Pseudochromadora,galeata,Desmodoridae,2A,co,2
Epsilonema,sp1,Epsilonematidae,1A,co,4
Paramphimonhystrella,longispicula,Xyalidae,1B,cla,2
Parodontophora,sp2,Axonolaimidae,2A,cla,2
